pt_id,pt_sptyp,pt_spcode,pt_code,pt_type,pt_nbel,pt_com,pt_comment,pt_creadat,pt_majdat,Secteur,TRANCHES,ZHW,
86VLE,,,86VLE,NRO,2538,86294,FTTH,20170519,20170630,8,TF,
86AYR,,,86AYR,NRO,2391,86017,pr¨¦-BLOM TF,20170519,20170630,8,TF,
86MBU,,,86MBU,NRO,2970,86160,pr¨¦-BLOM TF,20170519,20170630,8,TF,
86JYC,,,86JYC,NRO,4277,86115,FTTH,20170519,20170630,8,TF,
86SX5,,,86SX5,NRO,2236,86222,FTTH,20170519,20170630,8,TF,
86DIS,,,86DIS,NRO,3607,86095,Hors projet,20170519,20170630,8,
86LAV,,,86LAV,NRO,1680,86123,Hors projet,20170519,20170630,8,
86LIG,,,86LIG,NRO,4140,86133,Hors projet,20170519,20170630,9,
86CNY,,,86CNY,NRO,1679,86068,Hors projet,20170519,20170630,9,
86CPN,,,86CPN,NRO,1297,86054,Hors projet,20170519,20170630,9,
86NEV,,,86NEV,NRO,1274,86295,Hors projet,20170519,20170630,9,
86JOU,,,86JOU,NRO,979,86119,Hors projet,20170519,20170630,9,
86NLE,,,86NLE,NRO,2338,86178,Hors projet,20170519,20170630,9,
86CHM,,,86CHM,NRO,1343,86091,Hors projet,20170519,20170630,9,
86CVX,,,86CVX,NRO,1048,86077,Hors projet,20170519,20170630,10,
86US9,,,86US9,NRO,1401,86276,Hors projet,20170519,20170630,10,
86LHT,,,86LHT,NRO,722,86138,Hors projet,20170519,20170630,10,
86AVL,,,86AVL,NRO,1543,86015,Hors projet,20170519,20170630,10,
86LAT,,,86LAT,NRO,1614,86120,Hors projet,20170519,20170630,10,
86PRC,,,86PRC,NRO,2060,86190,Hors projet,20170519,20170630,10,
86TRI,,,86TRI,NRO,1655,86273,Hors projet,20170519,20170630,10,
86JHT,,,86JHT,NRO,993,86117,Hors projet,20170519,20170630,10,
86VDV,,,86VDV,NRO,1371,86233,Hors projet,20170519,20170630,10,
86UYE,,,86UYE,NRO,1212,86202,Hors projet,20170519,20170630,10,
86SPM,,,86SPM,NRO,1788,86236,Hors projet,20170519,20170630,10,
86NNE,,,86NNE,NRO,1355,86031,Hors projet,20170519,20170630,10,
86RRS,,,86RRS,NRO,2083,86285,Hors projet,20170519,20170630,10,
79AAR,,,79AAR,NRO,1254,79263,pr¨¦-BLOM PSE,20170512,20170630,1,TC3,
79CLG,,,79CLG,NRO,2133,79101,pr¨¦-BLOM TF,20170512,20170630,1,TF,
79ARD,,,79ARD,NRO,1134,79012,Hors projet,20170512,20170630,1,
79MEN,,,79MEN,NRO,1585,79176,pr¨¦-BLOM TF,20170512,20170630,1,TF,
79MZG,,,79MZG,NRO,2086,79172,pr¨¦-BLOM TF,20170512,20170630,1,TF,
79SPX,,,79SPX,NRO,1733,79285,pr¨¦-BLOM TF,20170512,20170630,1,TF,
79VAU,,,79VAU,NRO,1012,79340,pr¨¦-BLOM PSE,20170512,20170630,1,TC3,
79VSL,,,79VSL,NRO,978,79339,Hors projet,20170512,20170630,1,
79PAV,,,79PAV,NRO,10646,79202,FTTH,20170512,20170630,1,TF,
79FEN,,,79FEN,NRO,1030,79119,pr¨¦-BLOM PSE,20170512,20170630,1,TC3,
79SEC,,,79SEC,NRO,2448,79311,pr¨¦-BLOM TF,20170512,20170630,1,TF,
79THE,,,79THE,NRO,1986,79326,pr¨¦-BLOM TF,20170512,20170630,1,TF,
79GUG,,,79GUG,NRO,1246,79135,pr¨¦-BLOM PSE,20170512,20170630,1,TC3,
79PAC,,,79PAC,NRO,2446,79080,pr¨¦-BLOM TF,20170512,20170630,1,TF,
79SAC,,,79SAC,NRO,1349,79239,pr¨¦-BLOM PSE,20170512,20170630,1,TC3,
79MIN,,,79MIN,NRO,1868,79079,FTTH,20170512,20170630,4,TF,
79ULN,,,79ULN,NRO,2478,79079,FTTH,20170512,20170630,4,TF,
